Pid,Date,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,Optionable,Shortable,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Earnings,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Shs Outstand,Shs Float,Short Float / Ratio,Short Interest,Target Price,52W Range,52W High,52W Low,RSI (14),Rel Volume,Avg Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR,Volatility,Prev Close,Price
NCTY,20230817,-,26.49M,-57.00M,18.80M,-,0.23,-,-,74,Yes,Yes,-,-,-,1.41,-,3.31,-,0.70,0.70,1.35,0.00,-3.37,-,-,-,-,6.25%,10.20%,574.70%,-,-,45.10%,0.00%,3.30%,-21.34%,-,-,-,35.20%,-,-,-,31.39M,30.44M,1.02% / 0.73,0.31M,-,0.45 - 1.68,-53.71%,72.26%,40.22,0.67,425.61K,-12.98%,-32.97%,-2.19%,-35.74%,-48.50%,37.14%,1.69,0.09,8.57% 10.17%,0.78,0.78
NCV,20230817,-,297.33M,-,25.52M,4.08,-,0.41,12.40%,-,No,Yes,-,-,-,11.65,0.81,-,-,-,-,-,-,-0.90,-,-,-,-,-,-,-,-,-,0.01%,0.00%,18.37%,-,-,-,-,-,-,-,-,90.37M,90.36M,0.17% / 0.30,0.16M,-,3.05 - 4.15,-20.72%,7.87%,34.02,0.88,531.16K,-3.24%,-5.46%,0.00%,-15.86%,-20.91%,-3.24%,1.27,0.06,1.71% 1.52%,3.34,3.29
NCZ,20230817,-,225.30M,-,19.49M,3.63,-,0.36,12.16%,-,No,Yes,-,-,-,11.56,0.82,-,-,-,-,-,-,-0.90,-,-,-,-,-,-,-,-,-,0.01%,0.00%,28.12%,-,-,-,-,-,-,-,-,76.12M,76.10M,0.32% / 0.50,0.24M,-,2.68 - 3.60,-17.78%,10.60%,38.69,0.60,483.68K,-1.66%,-4.21%,1.37%,-10.57%,-18.46%,2.78%,1.27,0.05,1.55% 1.57%,2.96,2.96
NDLS,20230817,RUT,140.72M,0.00M,523.00M,0.78,0.05,-,-,8100,Yes,Yes,-,40.53,-,0.27,3.90,67.01,-,0.20,0.30,1.57,1.51,0.00,566.70%,-0.01,-190.70%,10.00%,38.80%,2.20%,12.00%,52.00%,Aug 09 AMC,1.30%,57.29%,82.30%,-1.90%,-1.00%,-9.10%,-1.00%,25.30%,-0.10%,-0.60%,-,46.12M,36.41M,2.31% / 1.68,0.84M,5.12,2.67 - 6.55,-53.59%,13.69%,39.34,1.54,500.23K,-5.15%,-16.71%,-19.68%,-50.25%,-45.42%,-44.63%,1.53,0.21,7.50% 6.25%,2.85,3.04
NDRA,20230817,-,8.61M,-13.30M,-,1.42,0.31,-,-,21,No,Yes,-,-,-,-,0.79,3.59,-,1.50,3.00,0.00,0.00,-4.22,27.30%,-0.55,17.80%,-,34.90%,-,-,30.10%,Aug 14 AMC,0.30%,426.24%,5.70%,-8.36%,-121.70%,-150.50%,-,-,-,-,-,7.48M,7.13M,0.60% / 0.68,0.04M,20.00,1.02 - 7.40,-84.86%,9.80%,39.09,0.36,63.27K,-16.42%,-21.68%,-17.65%,-69.73%,-83.16%,-72.48%,0.81,0.14,19.21% 9.14%,1.06,1.12
NECB,20230817,RUT,242.98M,38.10M,104.10M,17.92,5.25,0.24,1.47%,134,Yes,Yes,6.41,8.60,-,2.33,0.91,3.12,10.04,-,-,0.00,0.00,2.55,-33.33%,0.68,114.40%,-,-,-,114.30%,226.90%,Jul 26 BMO,0.60%,4.69%,27.50%,2.33%,1.80%,9.50%,20.50%,-,60.90%,23.90%,14.90%,14.65M,13.03M,5.35% / 6.14,0.70M,18.50,12.16 - 16.62,-1.68%,34.38%,64.41,0.62,113.42K,1.05%,3.42%,25.98%,3.22%,28.97%,9.52%,0.56,0.25,1.34% 1.49%,16.29,16.34
NEGG,20230817,-,408.39M,-57.40M,1.72B,0.41,0.33,-,-,1355,Yes,Yes,-,-,-,0.24,2.66,3.33,36.14,0.80,1.30,0.05,0.01,-0.15,9.10%,-0.03,-283.50%,-,42.10%,355.00%,-11.10%,-530.90%,-,52.90%,0.00%,0.60%,0.99%,-10.60%,-33.20%,-40.50%,12.60%,-3.00%,-3.30%,-,375.86M,25.30M,6.58% / 3.04,1.66M,3.00,1.00 - 4.75,-77.05%,9.00%,38.42,0.62,547.91K,-9.92%,-23.78%,-5.22%,-37.71%,-74.35%,-16.79%,0.75,0.09,5.34% 7.38%,1.10,1.09
NEOG,20230817,RUT,4.79B,-22.90M,822.40M,14.46,0.86,-,-,2108,Yes,Yes,-,102.50,-,5.83,1.56,26.16,-,3.80,5.20,0.28,0.28,-0.08,83.33%,0.03,-21.30%,10.00%,0.90%,8.00%,70.30%,-24.80%,Jul 27 BMO,0.10%,0.00%,93.50%,91.85%,-0.60%,-0.80%,5.30%,49.40%,2.80%,-2.00%,0.00%,216.22M,216.05M,6.70% / 8.72,14.48M,26.00,10.49 - 24.09,-6.41%,114.97%,51.01,0.61,1.66M,1.99%,-0.40%,33.12%,10.49%,2.83%,48.06%,1.03,0.69,3.44% 3.05%,23.08,22.55
NEP,20230817,-,4.21B,148.00M,1.22B,38.55,6.27,3.42,7.60%,-,Yes,Yes,26.66,34.68,1.81,3.45,1.17,7.16,-,1.20,1.20,1.82,1.66,1.69,-17.82%,0.42,217.40%,14.70%,53.30%,8.50%,-3.30%,-79.70%,Jul 25 BMO,1.13%,0.17%,87.80%,0.10%,0.70%,4.30%,0.30%,-,8.00%,12.10%,189.50%,92.30M,85.85M,4.11% / 4.25,3.53M,76.33,46.09 - 86.06,-47.77%,-2.47%,18.72,1.41,830.37K,-6.18%,-23.53%,-24.52%,-38.47%,-46.53%,-35.87%,0.88,1.59,3.24% 3.12%,46.77,44.95
NERV,20230817,-,60.78M,-26.80M,-,-2.27,7.43,-,-,9,No,Yes,-,-,-,-,-,1.17,-,27.40,27.40,-,-,-4.98,12.70%,-0.77,35.70%,-,7.00%,-,-,31.20%,Aug 01 BMO,26.18%,-2.83%,38.50%,-8.24%,-45.90%,146.00%,-,-,-,-,-,5.51M,5.43M,2.26% / 0.13,0.12M,11.00,1.26 - 15.27,-42.89%,592.06%,44.72,0.02,946.99K,-5.63%,-5.93%,42.72%,269.49%,178.59%,448.43%,0.18,0.80,7.72% 8.37%,8.79,8.72
NET,20230817,-,19.39B,-221.00M,1.13B,1.93,4.77,-,-,3389,Yes,Yes,-,127.87,-,17.20,30.21,12.24,308.27,3.80,3.80,2.05,2.00,-0.67,20.63%,0.10,28.90%,-,-,48.50%,31.60%,-45.50%,Aug 03 AMC,0.10%,-81.60%,86.60%,-0.16%,-8.60%,-35.20%,-9.90%,75.60%,-22.20%,-19.60%,-,332.30M,286.70M,5.96% / 3.63,17.08M,70.42,37.37 - 76.74,-24.02%,56.03%,37.15,1.09,4.70M,-7.87%,-19.79%,7.58%,-19.46%,-25.05%,28.98%,0.96,3.55,4.14% 4.96%,60.85,58.31
NETI,20230817,RUT,437.07M,-18.60M,168.50M,17.79,1.99,0.04,0.36%,286,Yes,Yes,-,-,-,2.59,0.63,5.65,-,2.80,2.90,0.09,0.07,-0.55,80.00%,0.19,122.20%,-,18.50%,4.20%,-53.50%,-191.70%,Aug 08 BMO,28.77%,0.00%,31.50%,3.56%,-2.30%,-2.70%,6.90%,52.60%,-14.70%,-11.00%,1.51%,36.61M,27.53M,4.16% / 1.82,1.15M,14.50,6.62 - 13.54,-17.06%,69.64%,32.59,0.23,630.18K,-1.92%,-12.88%,30.58%,9.88%,37.45%,11.74%,1.17,0.35,1.85% 2.59%,11.24,11.23
NEWR,20230817,-,5.91B,-167.40M,951.80M,5.07,6.50,-,-,2663,Yes,Yes,-,39.46,-,6.21,16.59,12.94,85.68,1.40,1.40,0.00,0.00,-2.65,21.21%,0.41,31.20%,79.36%,-26.40%,21.10%,12.10%,28.80%,Jul 31 BMO,0.30%,-47.30%,85.80%,-1.31%,-13.50%,-49.30%,-22.40%,75.20%,-17.10%,-17.60%,-,69.55M,57.23M,1.90% / 0.73,1.09M,86.50,50.24 - 86.00,-2.17%,67.46%,74.94,0.49,1.49M,0.39%,15.93%,0.35%,8.16%,24.60%,49.03%,0.86,1.25,0.45% 1.26%,84.01,84.13
NEX,20230817,RUT,2.48B,641.80M,3.65B,4.93,1.37,-,-,4302,Yes,Yes,4.09,5.85,0.15,0.68,2.22,7.97,6.47,1.30,1.40,0.38,0.32,2.67,-15.34%,0.48,337.40%,27.30%,42.20%,16.00%,12.10%,135.70%,Jul 25 AMC,0.80%,-24.64%,84.00%,-2.74%,33.20%,69.90%,28.50%,26.90%,15.60%,17.60%,0.00%,229.03M,201.34M,4.95% / 3.51,9.96M,13.37,6.66 - 11.99,-8.92%,63.96%,47.72,0.65,2.84M,-4.38%,-4.63%,41.45%,19.87%,27.57%,18.18%,2.17,0.42,3.29% 3.52%,10.93,10.92
NEXA,20230817,-,659.92M,-245.10M,2.78B,10.41,3.27,0.33,6.46%,5625,Yes,Yes,-,-,-,0.24,0.49,1.57,-,0.80,1.30,1.22,1.18,-1.85,-165.40%,-0.21,-57.10%,-,-17.20%,4.40%,-24.40%,-194.00%,Jul 27 AMC,66.47%,0.00%,24.20%,-0.29%,-5.10%,-17.10%,6.70%,12.10%,-2.70%,-8.80%,89.35%,132.44M,44.40M,0.39% / 0.94,0.17M,6.33,4.14 - 7.47,-31.45%,23.82%,57.15,0.11,182.76K,0.59%,7.56%,-11.72%,-20.63%,-28.29%,-12.47%,1.48,0.23,4.51% 4.88%,5.15,5.12
NEXI,20230817,-,6.68M,-57.00M,-,0.90,0.84,-,-,50,No,Yes,-,-,-,-,0.28,0.30,-,3.70,3.70,0.00,0.00,-2.31,75.40%,-0.30,-2.30%,-,-,-,-,44.20%,Aug 10 AMC,16.30%,10.24%,30.30%,-5.49%,-126.90%,-156.80%,-,-,-,-,-,26.08M,18.72M,1.02% / 0.66,0.19M,2.00,0.19 - 1.59,-84.09%,29.94%,43.30,0.13,288.90K,-5.28%,-12.79%,-15.67%,-38.29%,-79.43%,4.07%,2.22,0.03,14.39% 9.80%,0.23,0.25
NEXT,20230817,RUT,874.90M,-101.20M,-,0.39,0.35,-,-,102,Yes,Yes,-,-,-,-,15.31,17.12,-,-,-,0.00,0.00,-0.73,75.90%,-0.17,-91.30%,0.60%,-13.10%,-,-,-63.50%,-,1.50%,0.00%,83.30%,6.51%,-33.60%,-196.70%,-,-,-,-,-,146.93M,94.01M,6.58% / 2.92,6.19M,8.12,3.92 - 8.95,-33.28%,52.10%,49.74,0.59,2.12M,9.14%,-5.39%,-1.97%,-16.97%,-29.01%,20.85%,1.06,0.36,6.15% 4.79%,5.77,5.97
NFBK,20230817,RUT,500.30M,52.40M,197.60M,15.64,3.15,0.52,4.66%,395,Yes,Yes,9.67,14.44,1.21,2.53,0.71,3.54,8.12,-,-,1.40,1.40,1.15,-7.98%,0.19,-9.20%,8.00%,11.90%,6.20%,18.90%,-36.10%,-,1.70%,-0.15%,58.60%,-1.71%,0.90%,7.50%,17.10%,-,72.20%,26.50%,44.90%,43.91M,40.04M,1.49% / 3.48,0.60M,11.67,9.13 - 16.13,-30.81%,22.23%,38.18,0.54,171.16K,-5.10%,-6.45%,12.39%,-23.61%,-28.05%,-29.05%,0.65,0.30,2.22% 2.55%,11.12,11.16
NFE,20230817,-,5.87B,395.40M,2.42B,6.86,0.52,0.20,0.69%,577,Yes,Yes,15.32,5.61,-,2.43,4.24,56.28,-,0.30,0.30,3.90,3.62,1.90,28.91%,0.81,92.50%,-,47.40%,89.40%,-4.00%,171.60%,Aug 08 BMO,0.20%,2.73%,48.20%,-0.94%,4.90%,27.10%,14.50%,62.40%,36.40%,16.30%,173.40%,205.04M,93.67M,7.86% / 5.29,7.36M,48.09,25.06 - 63.06,-53.90%,16.00%,54.59,0.98,1.39M,1.71%,1.15%,2.65%,-27.31%,-51.57%,-31.47%,1.55,1.05,2.76% 3.17%,28.05,29.07
NFLX,20230817,"NDX, S&P 500",182.11B,3.88B,32.13B,51.44,18.98,-,-,12800,Yes,Yes,46.92,26.21,1.94,5.67,7.83,21.23,42.75,1.30,1.30,0.63,0.62,8.59,29.30%,3.50,-14.40%,24.17%,44.90%,22.00%,2.70%,2.90%,Jul 19 AMC,1.35%,-3.43%,80.30%,2.90%,8.60%,19.80%,12.80%,38.80%,17.50%,13.20%,0.00%,443.88M,437.17M,2.05% / 1.23,8.97M,463.39,211.73 - 485.00,-16.91%,90.34%,36.60,0.83,7.27M,-6.27%,-15.62%,18.54%,11.50%,64.03%,36.67%,1.29,12.20,2.43% 2.69%,415.45,403.00
NFTG,20230817,-,6.74M,-2.60M,-,0.51,0.45,-,-,3,No,No,-,-,-,-,1.05,1.18,-,39.40,39.40,0.00,0.00,-0.26,-,-,-,-,-,-,-,-436.40%,-,22.41%,0.19%,0.09%,-,-110.10%,-120.10%,-,-,-,-,-,11.26M,9.39M,0.45% / 0.09,0.04M,-,0.60 - 5.15,-89.61%,-10.80%,33.88,0.21,489.67K,-25.67%,-33.92%,-44.26%,-86.79%,-,-86.79%,-,0.09,9.46% 11.18%,0.62,0.54
NG,20230817,RUT,1.36B,-,-,0.03,0.33,-,-,13,Yes,Yes,-,-,-,-,137.67,12.46,-,40.80,40.80,14.75,14.75,-0.17,-,-0.02,50.00%,-,-,-,-,2.40%,Jun 27 AMC,0.40%,-4.00%,58.70%,4.06%,-,-,-,-,-,-,-,334.01M,245.83M,3.40% / 6.75,8.36M,9.67,3.84 - 6.98,-40.83%,7.55%,40.60,0.63,1.24M,-3.73%,-10.41%,-23.80%,-29.64%,-16.57%,-30.94%,0.82,0.15,3.70% 3.13%,4.06,4.13
NGL,20230817,-,505.29M,-73.20M,8.69B,3.60,0.06,-,-,638,Yes,Yes,-,15.96,-,0.06,1.06,64.78,-,1.00,1.20,-,-,-0.56,-77.14%,0.20,74.90%,3.00%,4.20%,4.60%,-35.30%,-15.60%,Aug 09 AMC,3.10%,0.00%,26.10%,-4.43%,-,-,8.80%,12.00%,-,-,-,131.93M,122.73M,1.85% / 3.84,2.28M,3.50,1.00 - 4.62,-17.10%,283.00%,42.21,0.42,593.31K,-6.59%,0.79%,32.99%,38.27%,133.54%,216.53%,1.68,0.20,4.41% 5.06%,3.82,3.83
NGM,20230817,RUT,177.02M,-169.60M,29.80M,2.33,2.40,-,-,239,Yes,Yes,-,-,-,5.94,0.94,0.91,-,7.20,7.20,0.00,0.00,-2.08,19.50%,-0.42,-30.30%,-,-56.30%,-6.40%,-83.10%,20.90%,Aug 03 AMC,0.20%,0.00%,65.40%,11.42%,-60.40%,-70.80%,-,-,-,-,-,82.46M,64.85M,5.04% / 10.38,3.27M,5.67,1.93 - 16.93,-87.06%,13.47%,41.67,0.63,315.19K,2.82%,-21.51%,-32.51%,-53.40%,-86.94%,-56.37%,1.14,0.18,6.63% 7.42%,2.10,2.19
NGMS,20230817,-,906.46M,-19.00M,202.00M,4.43,1.32,-,-,695,Yes,Yes,-,118.99,-,4.49,6.10,20.42,-,1.20,1.20,1.52,1.51,-0.67,560.00%,-0.02,-465.50%,-,-16.10%,57.40%,272.20%,24.90%,Aug 09 AMC,-,-,39.10%,-5.60%,-3.90%,-13.20%,-7.10%,-,-12.40%,-9.40%,-,33.52M,12.74M,1.04% / 0.58,0.13M,27.25,10.85 - 27.77,-2.73%,148.94%,52.78,0.17,230.95K,-0.15%,-0.55%,-1.13%,77.23%,48.57%,121.58%,1.25,0.30,0.53% 1.09%,27.05,27.01
NGS,20230817,-,131.77M,-0.50M,91.10M,18.89,0.59,-,-,266,Yes,Yes,-,65.94,-,1.45,0.56,17.81,-,0.80,1.40,0.26,0.26,-0.04,260.00%,-0.02,93.40%,23.00%,-19.50%,4.60%,31.00%,12.80%,Aug 14 AMC,5.50%,0.00%,80.40%,-4.17%,-0.20%,-0.20%,0.00%,44.60%,0.40%,-0.60%,-,12.21M,11.63M,0.15% / 0.28,0.02M,22.50,9.41 - 12.67,-16.73%,12.11%,57.83,0.30,62.14K,4.15%,6.57%,1.44%,-5.97%,4.04%,-7.94%,1.29,0.32,3.74% 2.91%,10.49,10.55
NGVC,20230817,RUT,292.64M,19.50M,1.12B,7.34,0.38,0.40,3.09%,3235,Yes,Yes,15.16,15.80,2.97,0.26,1.77,34.03,33.64,0.20,1.00,0.37,0.34,0.85,1.23%,0.20,3.30%,5.10%,25.00%,7.20%,5.80%,79.50%,Aug 03 AMC,0.70%,0.00%,33.60%,-10.18%,3.00%,12.10%,10.80%,28.40%,2.50%,1.70%,46.60%,22.73M,10.63M,0.59% / 1.74,0.06M,13.00,8.00 - 15.66,-17.27%,62.00%,56.68,0.34,36.38K,-1.22%,-0.15%,11.34%,25.46%,-16.01%,41.79%,0.94,0.40,2.36% 3.10%,13.00,12.96
NGVT,20230817,RUT,1.85B,177.20M,1.74B,19.63,1.86,-,-,2050,Yes,Yes,10.72,9.42,1.73,1.06,2.57,27.14,15.45,1.20,2.50,2.14,2.14,4.71,27.81%,1.22,86.60%,6.20%,18.10%,11.40%,14.70%,-37.10%,Aug 02 AMC,0.10%,-29.45%,93.40%,-2.74%,6.60%,25.60%,9.70%,32.50%,13.10%,10.20%,0.00%,36.37M,35.99M,3.20% / 2.63,1.15M,70.43,46.52 - 90.81,-44.39%,8.56%,36.01,0.63,438.97K,-5.40%,-18.07%,-5.25%,-44.12%,-31.90%,-28.31%,1.90,2.21,3.21% 3.47%,48.31,50.50
NHC,20230817,RUT,1.04B,31.90M,1.09B,57.78,12.90,2.36,3.42%,12355,Yes,Yes,33.18,-,-,0.95,1.20,5.36,27.93,1.80,1.90,0.00,0.00,2.08,-,-,-83.80%,-,-19.30%,2.40%,4.10%,413.80%,May 05 BMO,0.50%,12.68%,46.40%,-2.01%,2.50%,3.60%,2.80%,37.10%,3.40%,2.90%,109.30%,15.30M,12.32M,2.86% / 8.24,0.35M,-,51.56 - 70.78,-2.39%,34.01%,78.72,0.63,42.74K,2.28%,18.16%,17.74%,17.78%,-1.06%,16.12%,0.23,1.40,2.04% 2.10%,69.48,69.09
NHWK,20230817,-,14.73M,-48.10M,6.90M,2.38,1.09,-,-,77,Yes,Yes,-,-,-,2.14,0.24,0.52,-,-,2.00,0.09,0.09,-1.87,26.70%,-0.45,-20.50%,-,45.80%,33.20%,300.00%,-55.10%,Aug 14 AMC,5.14%,0.00%,9.90%,-28.59%,-43.00%,-60.70%,-53.20%,-1.10%,-,-,-,25.97M,24.71M,1.29% / 2.21,0.32M,10.00,0.50 - 3.42,-83.63%,11.55%,27.07,0.15,144.24K,-12.36%,-21.18%,-28.20%,-45.04%,-76.27%,-30.44%,0.53,0.04,6.44% 5.30%,0.59,0.56
NIC,20230817,RUT,1.16B,59.80M,335.90M,66.63,38.33,1.00,1.29%,943,Yes,Yes,19.26,11.93,2.75,3.45,1.16,2.02,11.83,-,-,0.20,0.20,4.02,59.76%,1.57,20.50%,7.00%,13.90%,20.20%,54.80%,-12.80%,Jul 18 AMC,1.80%,-0.59%,38.70%,-2.03%,0.70%,6.20%,17.90%,-,69.30%,17.80%,6.00%,14.67M,12.80M,3.18% / 8.17,0.41M,84.80,51.76 - 85.82,-9.73%,49.67%,44.33,0.74,49.77K,-6.97%,-2.41%,30.51%,3.83%,-9.89%,-2.91%,0.76,2.16,2.09% 2.39%,77.35,77.47
NIE,20230817,-,571.08M,-,-,-,-,2.00,9.70%,-,No,Yes,-,-,-,-,-,-,-,-,-,-,-,-3.91,-,-,-,-,-,-,-,-,-,0.01%,20.94%,23.40%,-,-,-,-,-,-,-,-,27.71M,27.70M,0.50% / 2.05,0.14M,-,17.41 - 21.94,-6.06%,18.39%,32.90,0.77,68.12K,-2.60%,-5.20%,6.22%,3.06%,-3.35%,15.89%,1.05,0.27,1.36% 1.20%,20.88,20.61
NIMC,20230817,-,10.94B,-,5.85B,14.71,-,7.75,7.77%,7117,No,Yes,64.71,-,-,1.87,6.78,-,-,-,-,-,-,1.54,-,-,-,-,-,-,-7.90%,-12.20%,Aug 02 BMO,-,-,114.15%,-,-,-,-,-,-,-,50.96%,7.50M,7.50M,0.49% / 1.06,0.04M,31.00,96.63 - 121.81,-18.13%,3.20%,40.05,0.06,34.82K,-1.13%,-2.08%,-3.94%,-3.74%,-16.39%,-3.43%,0.53,0.82,0.37% 0.57%,99.62,99.72
NINE,20230817,-,155.36M,13.60M,658.90M,-0.40,1.09,-,-,1212,Yes,Yes,9.81,-,-,0.24,-,3.78,8.73,1.70,2.50,-,-,0.42,87.90%,-0.23,120.90%,-,16.50%,1.80%,13.40%,-140.20%,Aug 03 AMC,4.60%,-35.94%,52.70%,10.04%,3.20%,-67.80%,14.50%,23.40%,8.40%,2.10%,0.00%,33.29M,18.80M,19.22% / 3.48,3.61M,6.50,2.30 - 17.10,-75.96%,78.70%,41.19,0.54,1.04M,-16.97%,-14.38%,23.42%,-60.97%,46.26%,-71.71%,3.44,0.39,6.70% 8.60%,4.09,4.11
NIO,20230817,-,19.94B,-2430.30M,6.93B,1.65,2.61,-,-,26763,Yes,Yes,-,-,-,2.88,6.97,4.41,-,1.10,1.30,0.97,0.58,-1.48,-,-,-32.30%,-,-3.80%,-,7.70%,-159.30%,Aug 29 BMO,7.86%,0.00%,35.70%,-4.21%,-18.60%,-66.90%,-38.80%,7.70%,-36.80%,-35.10%,-,1.65B,1.42B,7.35% / 1.57,104.28M,13.54,7.00 - 22.74,-49.43%,64.29%,42.47,1.10,66.43M,-13.21%,8.08%,43.21%,9.52%,-45.00%,17.95%,2.08,0.88,5.85% 6.55%,11.40,11.50
NIR,20230817,-,24.22M,-,61.19M,0.13,0.30,-,-,261,No,Yes,-,-,-,0.40,3.50,1.52,-,1.50,1.50,15.37,14.53,-1.94,48.20%,-0.35,-201.90%,-,-,-,10.30%,-,Aug 14 AMC,59.73%,0.18%,25.88%,-24.25%,-,-,123.30%,-,-,-,-,46.38M,21.86M,0.66% / 0.22,0.14M,5.00,0.45 - 18.65,-97.56%,1.45%,22.01,0.55,659.38K,-20.88%,-72.41%,-79.59%,-95.75%,-95.44%,-95.55%,-0.02,0.16,21.09% 16.39%,0.49,0.46
NISN,20230817,-,12.09M,34.30M,239.30M,-,19.38,-,-,178,No,Yes,0.25,-,-,0.05,-,0.16,0.43,2.20,2.60,0.00,0.00,12.49,-,-,-,-,-,51.60%,304.50%,-83.50%,Aug 08 AMC,24.23%,0.00%,11.50%,-50.36%,-,-,-,24.00%,-,-,-,4.01M,3.04M,0.21% / 0.36,0.01M,-,2.97 - 8.70,-64.37%,4.38%,37.79,0.18,17.75K,0.98%,-17.99%,-34.47%,-45.36%,-65.52%,-45.58%,1.50,0.19,5.49% 4.90%,3.01,3.10
NIU,20230817,-,252.78M,-11.10M,417.10M,2.24,1.50,-,-,641,Yes,Yes,-,7.60,-,0.61,1.42,2.12,-,1.40,1.90,0.20,0.00,-0.14,61.50%,-,-122.60%,2.98%,25.80%,32.70%,-27.50%,-102.40%,Aug 14 BMO,-,-,34.00%,-18.87%,-3.20%,-6.20%,-4.70%,21.60%,-4.60%,-2.70%,-,77.88M,68.86M,1.52% / 2.20,1.05M,5.23,2.57 - 6.72,-52.57%,24.12%,30.64,0.45,476.50K,-15.38%,-17.36%,-14.71%,-35.56%,-52.81%,-39.01%,0.65,0.24,6.61% 5.70%,3.16,3.19
NKLA,20230817,RUT,1.47B,-767.40M,57.30M,0.74,0.29,-,-,1500,Yes,Yes,-,-,-,25.57,2.53,6.46,-,-,-,0.69,0.67,-1.50,38.50%,-0.17,-2.50%,20.59%,-,-,-14.90%,51.40%,Aug 04 BMO,0.90%,-8.41%,25.80%,0.08%,-72.10%,-156.60%,-85.00%,-,-,-,-,708.69M,679.67M,20.37% / 1.67,138.46M,2.42,0.52 - 6.76,-72.34%,258.93%,45.18,0.36,82.91M,-4.59%,-27.80%,153.22%,-29.96%,-72.90%,-13.43%,1.98,0.34,11.92% 15.38%,1.94,1.87
NKTX,20230817,RUT,94.31M,-125.00M,-,6.49,5.63,-,-,169,Yes,Yes,-,-,-,-,0.29,0.34,-,10.80,10.80,0.00,0.00,-2.56,-10.50%,-0.71,0.40%,-,-,-,-,-10.70%,Aug 10 BMO,0.80%,-1.00%,92.80%,-6.79%,-26.80%,-34.80%,-,-,-,-,-,48.97M,45.36M,7.06% / 6.58,3.20M,18.75,1.80 - 17.66,-89.30%,5.00%,27.75,0.56,486.47K,-6.90%,-9.57%,-57.81%,-63.79%,-89.34%,-68.45%,-0.05,0.14,5.39% 6.00%,1.96,1.89
NLSP,20230817,-,26.76M,-16.50M,-,0.14,0.27,-,-,2,No,Yes,-,-,-,-,5.82,3.01,-,2.80,2.80,0.00,0.00,-0.88,-,-,16.50%,-,-8.20%,-,-,-37.80%,-,38.48%,0.00%,8.20%,-29.96%,-260.10%,-,-,-,-,-,-,23.47M,19.95M,0.56% / 0.76,0.11M,7.83,0.42 - 1.88,-56.63%,94.10%,41.27,0.11,147.71K,-5.06%,-9.30%,-28.47%,-40.48%,64.73%,-36.79%,-0.72,0.09,5.62% 10.28%,0.85,0.82
NLTX,20230817,-,32.46M,-56.40M,-,1.42,1.83,-,-,12,Yes,Yes,-,-,-,-,0.51,0.40,-,17.20,17.20,0.00,0.00,-1.02,46.90%,-0.04,5.50%,25.10%,14.20%,-,-,-,-,17.71%,40.28%,45.00%,-12.17%,-,-,-,-,-,-,-,56.16M,36.23M,0.49% / 0.68,0.18M,-,0.38 - 1.20,-39.67%,93.07%,55.93,0.94,263.62K,14.56%,9.70%,-16.77%,22.71%,-34.77%,42.24%,1.16,0.04,7.93% 5.62%,0.70,0.72
NMIH,20230817,RUT,2.31B,304.50M,543.10M,21.08,0.87,-,-,237,Yes,Yes,7.88,6.98,0.54,4.26,1.34,32.52,7.19,-,-,0.23,0.23,3.59,13.66%,0.89,28.00%,14.53%,42.80%,23.40%,7.90%,9.40%,Aug 01 AMC,0.30%,-6.28%,99.29%,-1.32%,11.90%,18.50%,16.10%,-,78.40%,56.10%,0.00%,82.96M,81.12M,0.87% / 1.68,0.70M,31.43,19.02 - 30.14,-6.17%,48.69%,52.61,0.97,419.07K,-2.85%,5.01%,13.94%,18.48%,25.24%,35.31%,1.16,0.71,2.49% 2.37%,28.71,28.28
NMM,20230817,-,707.50M,582.90M,1.28B,76.40,5.19,0.20,0.86%,186,Yes,Yes,1.21,1.93,0.04,0.55,0.30,4.48,7.32,0.50,0.50,0.84,0.67,19.24,1.78%,2.88,-15.70%,33.08%,67.70%,41.70%,38.30%,-1.10%,May 23 BMO,8.90%,0.00%,12.60%,10.39%,13.40%,27.40%,12.00%,87.40%,38.60%,44.20%,1.10%,30.18M,21.55M,1.27% / 3.13,0.27M,40.00,19.23 - 28.95,-19.69%,20.90%,50.53,0.67,87.71K,-2.47%,0.82%,1.66%,-17.29%,-19.02%,-10.44%,2.03,0.49,2.06% 1.86%,23.29,23.25
